class,AUROC_sample,AUROC_pixel,AUPRO_pixel
bottle,1.0,0.99,0.968
cable,0.962,0.957,0.887
capsule,0.968,0.984,0.943
carpet,0.986,0.991,0.972
grid,0.999,0.992,0.975
hazelnut,1.0,0.991,0.954
leather,1.0,0.995,0.992
metal_nut,1.0,0.978,0.915
pill,0.976,0.979,0.965
screw,0.958,0.994,0.976
tile,0.987,0.963,0.919
toothbrush,0.989,0.99,0.94
transistor,0.997,0.957,0.861
wood,0.985,0.963,0.936
zipper,0.977,0.98,0.945
mean,0.986,0.98,0.943
